	One_digit_id	Chain_pdbff	Number_of_residues	UA_Active_site	UA_Binding_site	UA_Cross-link	UA_DNA_binding	UA_Glycosylation	UA_Intramembrane	UA_Lipidation	UA_Natural_variant	UA_Repeat	UA_Site	UA_Transmembrane	UA_Zinc_finger	Helices[G,H,I]	HelicesPercent[G,H,I]	Strands[E,B]	StrandsPercent[E,B]	Loops[E,B]	LoopsPercent[E,B]	pH_pHcrystal	⟨Z⟩_Complex_pH7	⟨Z⟩_Monomer_pH7	⟨Z⟩_Complex_pHcrystal	⟨Z⟩_Monomer_pHcrystal	⟨Z²⟩-⟨Z⟩²_Complex_pH7	⟨Z²⟩-⟨Z⟩²_Monomer_pH7	⟨Z²⟩-⟨Z⟩²_Complex_pHcrystal	⟨Z²⟩-⟨Z⟩²_Monomer_pHcrystal	⟨μ⟩_Complex_pH7	⟨μ⟩_Monomer_pH7	⟨μ⟩_Complex_pHcrystal	⟨μ⟩_Monomer_pHcrystal	⟨μ²⟩-⟨μ⟩²_Complex_pH7	⟨μ²⟩-⟨μ⟩²_Monomer_pH7	⟨μ²⟩-⟨μ⟩²_Complex_pHcrystal	⟨μ²⟩-⟨μ⟩²_Monomer_pHcrystal	SASA_Complex	SASA_Monomer	SASA_interface	Number_of_glycans	Number_of_modelled_residues
27	1dqj_0	B	424	0	0	0	0	0	0	0	0	0	0	0	0	23	0.05	217	0.51	96	0.23	4.6	6.16	-0.97	19.48	10.6	2.14	1.59	5.55	4.35	303.85	91.56	223.48	84.15	1647.18	207.4	3133.26	605.43	18098.7	18966.6	867.9	0	0
28	1dzb_0	A	129	0	0	0	0	0	0	0	0	0	0	0	0	48	0.37	14	0.11	45	0.35	5.8	6.12	8.42	8.88	9.67	1.23	0.73	2.07	0.9	170.27	40.55	188.4	41.65	351.58	73.8	574.14	121.9	5554.6	6459.7	905.1	0	0
29	1dzb_0	B	224	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	110	0.49	45	0.2	5.8	6.12	-2.18	8.88	-0.51	1.23	0.58	2.07	1.09	170.27	84.69	188.4	80.21	351.58	52.27	574.14	102.07	10797.5	11600.0	802.5	0	0
30	1e6j_0	A	210	0	0	0	0	0	0	0	0	0	0	0	0	131	0.62	0	0.0	33	0.16	7.5	2.23	-3.63	0.9	-4.23	2.29	0.92	1.66	0.57	156.16	57.68	168.43	49.22	6180.84	484.54	4815.64	362.97	12777.4	13459.4	682.0	0	0
31	1e6j_0	B	429	0	0	0	0	0	0	0	0	0	0	0	0	31	0.07	238	0.55	70	0.16	7.5	2.23	5.92	0.9	5.08	2.29	1.37	1.66	1.08	156.16	124.26	168.43	124.23	6180.84	940.24	4815.64	800.9	19422.2	19996.3	574.1	0	0
32	1egj_0	A	101	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	52	0.51	20	0.2	5.5	1.37	-0.08	10.61	2.92	2.77	0.64	4.13	1.43	75.32	107.62	95.78	110.51	554.34	162.36	1246.45	461.03	5790.0	6546.5	756.5	0	0
33	1egj_0	B	435	0	0	0	0	0	0	0	0	0	0	0	0	24	0.06	222	0.51	91	0.21	5.5	1.37	1.39	10.61	7.76	2.77	2.13	4.13	2.82	75.32	112.26	95.78	104.94	554.34	350.65	1246.45	544.09	18994.2	19674.8	680.6	1	0
34	1eo8_0	A	319	0	0	0	0	5	0	0	0	0	0	0	0	31	0.1	117	0.37	64	0.2	6.0	10.06	6.24	16.37	8.96	3.29	1.4	4.86	1.67	195.77	109.28	175.23	93.59	1043.05	1475.08	1513.28	1246.1	15432.8	16201.7	768.9	3	0
35	1eo8_0	B	427	0	0	0	0	0	0	0	0	0	0	0	0	29	0.07	206	0.48	86	0.2	6.0	10.06	3.97	16.37	7.42	3.29	1.82	4.86	2.78	195.77	81.54	175.23	88.92	1043.05	733.15	1513.28	1045.08	18414.1	19191.8	777.7	0	0
36	1ezv_0	A	185	0	4	0	0	0	0	0	0	0	0	30	0	51	0.28	41	0.22	47	0.25	8.0	-3.49	-3.54	-5.23	-4.44	1.61	0.9	1.17	0.51	115.41	113.02	112.27	114.98	430.07	615.47	442.41	750.82	11607.0	12378.5	771.5	0	0
37	1ezv_0	B	234	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	111	0.47	59	0.25	8.0	-3.49	0.11	-5.23	-0.86	1.61	0.86	1.17	0.71	115.41	66.17	112.27	63.37	430.07	100.74	442.41	106.85	10418.1	11202.9	784.8	0	0
38	1fbi_0	A	129	2	0	0	0	0	0	0	0	0	0	0	0	48	0.37	13	0.1	45	0.35	7.0	8.79	8.25	8.79	8.25	2.4	0.61	2.4	0.61	313.27	57.28	313.27	57.28	2701.52	47.95	2701.52	47.95	5911.8	6755.3	843.5	0	0
39	1fbi_0	B	435	0	0	0	0	0	0	0	0	0	0	0	0	21	0.05	198	0.46	98	0.23	7.0	8.79	0.48	8.79	0.48	2.4	1.75	2.4	1.75	313.27	44.11	313.27	44.11	2701.52	325.81	2701.52	325.81	19076.3	19942.5	866.2	0	0
40	1fdl_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	51	0.4	16	0.12	43	0.33	7.0	11.24	7.22	11.24	7.22	2.08	0.58	2.08	0.58	330.42	36.63	330.42	36.63	2035.55	38.17	2035.55	38.17	5854.9	6498.6	643.7	0	0
41	1fdl_0	B	432	0	0	0	0	0	0	0	0	0	0	0	0	25	0.06	219	0.51	90	0.21	7.0	11.24	4.06	11.24	4.06	2.08	1.53	2.08	1.53	330.42	140.09	330.42	140.09	2035.55	938.13	2035.55	938.13	18988.1	19586.6	598.5	0	0
42	1fj1_1	A	251	0	0	0	0	0	0	0	12	0	0	0	0	7	0.03	114	0.45	75	0.3	6.2	4.26	0.52	7.13	0.77	1.68	0.32	2.9	0.49	74.75	34.4	89.17	35.48	762.18	21.59	1503.31	56.17	13220.2	14120.1	899.9	0	0
43	1fj1_1	B	426	0	0	0	0	0	0	0	0	0	0	0	0	26	0.06	221	0.52	82	0.19	6.2	4.26	3.78	7.13	6.44	1.68	1.45	2.9	2.29	74.75	104.63	89.17	99.66	762.18	411.32	1503.31	573.34	18562.7	19344.0	781.3	0	0
44	1fns_0	A	196	0	0	0	0	0	0	0	14	0	0	0	0	77	0.39	45	0.23	38	0.19	7.0	1.27	6.82	1.27	6.82	2.29	1.07	2.29	1.07	269.0	188.83	269.0	188.83	2070.57	74.59	2070.57	74.59	8762.0	9448.8	686.8	0	0
45	1fns_0	B	439	0	0	0	0	0	0	0	0	0	0	0	0	32	0.07	217	0.49	87	0.2	7.0	1.27	-5.58	1.27	-5.58	2.29	1.01	2.29	1.01	269.0	61.62	269.0	61.62	2070.57	242.96	2070.57	242.96	19404.2	20024.1	619.9	0	5
46	1fsk_2	A	159	0	4	0	0	0	0	0	1	0	0	0	0	43	0.27	56	0.35	34	0.21	4.0	-3.37	-4.09	25.88	8.2	3.08	1.24	11.64	4.08	86.8	20.26	113.93	50.17	1813.54	128.78	3134.51	471.57	7550.1	8433.0	882.9	0	0
47	1fsk_2	B	434	0	0	0	0	0	0	0	0	0	0	0	0	28	0.06	219	0.5	86	0.2	4.0	-3.37	0.58	25.88	18.41	3.08	1.83	11.64	6.73	86.8	87.77	113.93	71.74	1813.54	827.13	3134.51	1053.21	18832.1	19589.6	757.5	0	0
48	1g6v_0	A	256	0	0	0	0	0	0	0	0	0	0	0	0	34	0.13	77	0.3	79	0.31	5.6	2.72	0.08	10.06	6.27	2.14	1.72	3.58	2.38	81.42	88.98	127.14	121.21	291.42	161.17	649.6	250.03	10755.8	11318.9	563.1	0	0
49	1g6v_0	B	126	0	0	0	0	0	0	0	0	0	0	0	0	10	0.08	63	0.5	27	0.21	5.6	2.71	2.6	10.06	3.97	2.14	0.4	3.58	0.83	81.42	32.47	127.14	29.89	291.42	40.21	649.6	155.45	5441.1	6022.8	581.7	0	0
50	1g7h_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	53	0.41	14	0.11	42	0.33	6.0	10.19	7.22	12.52	7.65	1.24	0.57	2.07	0.77	101.45	29.1	87.89	30.07	312.82	37.73	427.38	48.96	5814.0	6441.4	627.4	0	0
51	1g7h_0	B	223	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	110	0.49	51	0.23	6.0	10.19	3.01	12.52	5.03	1.24	0.74	2.07	1.22	101.45	29.83	87.89	46.11	312.82	50.67	427.38	125.75	9284.0	9886.3	602.3	0	0
52	1g7i_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	50	0.39	14	0.11	43	0.33	6.5	10.18	7.22	10.97	7.38	1.24	0.57	1.53	0.67	99.83	30.77	95.86	31.03	310.53	33.16	356.29	36.83	5647.0	6340.8	693.8	0	0
53	1g7i_0	B	223	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	115	0.52	56	0.25	6.5	10.18	3.02	10.97	3.7	1.24	0.74	1.53	0.91	99.83	27.46	95.86	32.52	310.53	46.56	356.29	60.45	9449.5	10106.6	657.1	0	0
54	1g7j_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	51	0.4	14	0.11	41	0.32	6.5	10.36	7.22	11.24	7.38	1.34	0.58	1.58	0.68	98.02	29.53	94.75	29.76	322.02	33.34	353.64	37.62	5969.2	6642.0	672.8	0	0
55	1g7j_0	B	223	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	115	0.52	49	0.22	6.5	10.36	3.25	11.24	4.08	1.34	0.84	1.58	0.99	98.02	32.08	94.75	38.49	322.02	53.53	353.64	70.64	9582.8	10226.0	643.2	0	4
56	1g7l_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	50	0.39	14	0.11	42	0.33	6.5	10.71	7.22	11.52	7.37	1.49	0.58	1.8	0.67	84.09	28.4	81.46	28.72	329.43	38.8	340.06	43.01	5906.5	6568.1	661.6	0	0
57	1g7l_0	B	221	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	111	0.5	48	0.22	6.5	10.71	3.54	11.52	4.22	1.49	1.0	1.8	1.15	84.09	33.24	81.46	38.84	329.43	114.53	340.06	124.28	9615.9	10248.8	632.9	0	4
58	1g7m_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	50	0.39	14	0.11	42	0.33	6.5	10.27	7.22	11.08	7.37	1.28	0.57	1.53	0.66	100.19	27.29	96.1	27.71	357.94	42.37	386.81	47.08	5948.9	6601.5	652.6	0	0
59	1g7m_0	B	223	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	113	0.51	50	0.22	6.5	10.27	3.1	11.08	3.78	1.28	0.79	1.53	0.95	100.19	28.92	96.1	33.99	357.94	53.39	386.81	62.07	9538.9	10166.7	627.8	0	0
60	1g9m_0	A	317	0	0	0	0	18	0	0	0	0	0	0	0	49	0.15	113	0.36	65	0.21	6.6	9.47	3.34	11.36	4.21	1.98	1.04	2.78	1.34	281.24	75.35	274.79	78.45	2005.07	47.91	3122.11	62.07	16159.6	16759.8	600.2	13	12
61	1g9m_0	B	443	0	0	0	0	0	0	0	0	0	0	0	0	29	0.07	218	0.49	90	0.2	6.6	9.47	6.29	11.36	7.26	1.98	1.08	2.78	1.6	281.24	169.52	274.79	169.21	2005.07	430.59	3122.11	735.32	19152.8	19739.8	587.0	0	0
62	1g9n_0	A	306	0	0	0	0	16	0	0	0	0	0	0	0	46	0.15	113	0.37	66	0.22	5.8	10.08	3.82	17.88	7.04	2.24	1.24	4.51	1.91	273.35	109.95	262.73	112.34	3573.13	444.38	5435.43	478.35	14770.0	15369.0	599.0	12	0
63	1g9n_0	B	443	0	0	0	0	0	0	0	0	0	0	0	0	27	0.06	197	0.44	90	0.2	5.8	10.08	6.34	17.88	10.87	2.24	1.1	4.51	2.57	273.35	174.3	262.73	166.05	3573.13	432.8	5435.43	1181.8	18667.7	19276.4	608.7	0	0
64	1gc1_0	A	297	0	0	0	0	15	0	0	0	0	0	0	0	44	0.15	105	0.35	57	0.19	6.6	8.22	5.79	10.09	6.74	2.86	1.27	3.86	1.6	139.59	41.09	135.73	42.06	2703.92	339.55	3031.59	342.01	15292.9	15903.2	610.3	10	0
65	1gc1_0	B	442	0	0	0	0	0	0	0	0	0	0	0	0	19	0.04	215	0.49	100	0.23	6.6	8.22	2.44	10.09	3.62	2.86	1.59	3.86	2.2	139.59	229.71	135.73	229.44	2703.92	1096.11	3031.59	1427.57	18454.9	19024.1	569.2	0	0
66	1h0d_0	A	122	2	4	0	0	0	0	0	20	0	0	0	0	31	0.25	36	0.3	21	0.17	6.5	9.73	11.01	11.88	11.89	2.11	0.76	2.9	1.22	526.14	48.25	529.79	48.87	2432.62	34.64	3476.14	67.73	6795.3	7475.9	680.6	0	0
67	1h0d_0	B	439	0	0	0	0	0	0	0	0	0	0	0	0	29	0.07	220	0.5	87	0.2	6.5	9.73	-1.35	11.88	-0.09	2.11	1.26	2.9	1.72	526.14	113.88	529.79	104.94	2432.62	232.23	3476.14	319.92	19075.1	19701.1	626.0	0	0
68	1hez_0	A	61	0	0	0	0	0	0	0	0	0	0	0	0	22	0.36	28	0.46	5	0.08	8.5	1.28	-4.55	-2.24	-5.11	1.55	0.28	2.44	0.14	170.91	35.53	166.93	36.66	325.63	2.32	476.78	2.15	3342.0	4079.2	737.2	0	0
69	1hez_0	B	438	0	0	0	0	1	0	0	3	0	0	0	0	21	0.05	209	0.48	95	0.22	8.5	1.28	5.8	-2.24	2.79	1.55	1.23	2.44	2.44	170.91	121.31	166.93	114.01	325.63	579.27	476.78	1013.92	19388.1	20143.4	755.3	0	11
70	1hys_0	A	425	0	3	0	0	0	0	0	1	0	2	0	0	142	0.33	67	0.16	90	0.21	5.6	-1.93	6.63	8.92	12.55	2.82	1.22	6.06	3.69	505.82	34.61	506.8	81.19	3669.31	254.53	7085.76	878.2	22512.7	23099.0	586.3	0	0
71	1hys_0	B	434	0	0	0	0	0	0	0	0	0	0	0	0	23	0.05	205	0.47	95	0.22	5.6	-1.93	-8.61	8.92	-3.79	2.82	1.64	6.06	2.75	505.82	71.46	506.8	81.15	3669.31	758.93	7085.76	1028.79	18474.5	19038.5	564.0	0	0
72	1i9r_2	A	143	0	0	0	0	1	0	0	27	0	0	0	0	3	0.02	74	0.52	31	0.22	6.5	9.12	5.64	11.26	6.52	2.7	1.02	3.61	1.39	115.56	36.66	127.22	32.02	2196.97	103.52	2695.55	128.0	6885.7	7629.4	743.7	0	0
73	1i9r_2	B	434	0	0	0	0	0	0	0	0	0	0	0	0	34	0.08	215	0.5	79	0.18	6.5	9.12	3.47	11.26	4.8	2.7	1.6	3.61	2.12	115.56	82.86	127.22	83.68	2196.97	881.96	2695.55	1070.35	18012.7	18746.6	733.9	0	0
74	1ic4_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	51	0.4	14	0.11	44	0.34	7.6	5.5	7.21	5.01	7.1	0.92	0.57	0.85	0.58	178.45	33.91	181.57	33.45	276.55	39.68	217.42	41.15	5497.2	6354.9	857.7	0	0
75	1ic4_0	B	221	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	109	0.49	53	0.24	7.6	5.5	-1.68	5.01	-2.04	0.92	0.35	0.85	0.26	178.45	59.08	181.57	60.41	276.55	21.32	217.42	11.28	9544.6	10345.1	800.5	0	0
76	1ic5_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	52	0.4	14	0.11	44	0.34	7.6	5.48	7.22	4.98	7.1	0.9	0.57	0.82	0.58	182.22	36.07	185.29	35.6	283.88	43.59	215.58	44.6	5618.7	6516.9	898.2	0	0
77	1ic5_0	B	221	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	112	0.51	51	0.23	7.6	5.48	-1.7	4.98	-2.06	0.9	0.34	0.82	0.25	182.22	60.49	185.29	61.56	283.88	16.18	215.58	8.18	9561.4	10382.9	821.5	0	0
78	1ic7_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	52	0.4	14	0.11	42	0.33	7.6	6.42	7.21	5.94	7.1	0.92	0.57	0.92	0.58	178.94	35.93	182.41	35.49	270.78	39.05	223.61	40.33	5660.1	6528.2	868.1	0	0
79	1ic7_0	B	221	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	112	0.51	51	0.23	7.6	6.42	-0.68	5.94	-1.05	0.92	0.35	0.92	0.27	178.94	58.78	182.41	59.99	270.78	30.62	223.61	17.48	9613.6	10409.4	795.8	0	0
80	1iqd_0	A	156	0	0	0	0	0	0	0	33	0	0	0	0	6	0.04	81	0.52	35	0.22	7.0	4.35	5.79	4.35	5.79	3.14	0.96	3.14	0.96	73.73	47.96	73.73	47.96	918.29	222.58	918.29	222.58	6807.8	7887.7	1079.9	0	0
81	1iqd_0	B	426	0	0	0	0	0	0	0	0	0	0	0	0	29	0.07	221	0.52	83	0.19	7.0	4.35	-1.5	4.35	-1.5	3.14	2.07	3.14	2.07	73.73	178.48	73.73	178.48	918.29	1250.27	918.29	1250.27	18828.3	19737.0	908.7	0	18
82	1j1o_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	53	0.41	16	0.12	39	0.3	7.6	4.48	7.21	4.06	7.09	0.81	0.56	0.75	0.59	182.7	35.73	185.56	35.28	258.03	38.7	200.68	40.42	5457.2	6398.6	941.4	0	0
83	1j1o_0	B	221	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	112	0.51	51	0.23	7.6	4.48	-2.65	4.06	-3.03	0.81	0.35	0.75	0.22	182.7	63.91	185.56	65.06	258.03	11.73	200.68	6.42	9336.4	10198.3	861.9	0	0
84	1j1p_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	52	0.4	14	0.11	41	0.32	7.6	4.51	7.22	4.01	7.1	0.86	0.57	0.8	0.59	185.11	36.19	187.84	35.73	264.22	40.19	210.12	41.73	5470.9	6421.0	950.1	0	0
85	1j1p_0	B	221	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	112	0.51	51	0.23	7.6	4.51	-2.7	4.01	-3.03	0.86	0.33	0.8	0.22	185.11	65.44	187.84	66.23	264.22	12.34	210.12	8.27	9445.7	10320.2	874.5	0	0
86	1j1x_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	52	0.4	16	0.12	40	0.31	7.6	4.5	7.21	4.01	7.09	0.86	0.57	0.8	0.59	183.49	35.97	186.06	35.51	262.71	39.61	207.99	41.21	5552.0	6500.6	948.6	0	0
87	1j1x_0	B	221	0	0	0	0	0	0	0	0	0	0	0	0	15	0.07	112	0.51	48	0.22	7.6	4.5	-2.7	4.01	-3.04	0.86	0.33	0.8	0.22	183.49	66.5	186.06	67.26	262.71	11.22	207.99	7.7	9515.1	10384.4	869.3	0	0
