One_digit_id,Epitope_Convergence_Group_Interface_G_100_epi_SG100AB,Epitope_Convergence_Group_Interface_G_100_epi_SG95AB,Epitope_Convergence_Group_Interface_G_100_epi_SG80AB,Epitope_Convergence_Group_Interface_G_95_epi_SG100AB,Epitope_Convergence_Group_Interface_G_95_epi_SG95AB,Epitope_Convergence_Group_Interface_G_95_epi_SG80AB
7e8c_5,-1,-1,-1,-1,-1,-1
7e8c_8,-1,-1,-1,-1,-1,-1
7a3t_0,-1,-1,-1,-1,-1,-1
7ek0_0,-1,-1,-1,-1,-1,-1
7fbk_0,-1,-1,-1,-1,-1,-1
7mji_0,-1,-1,-1,-1,-1,-1
7mjl_0,-1,-1,-1,2,1,-1
7nx9_0,2,1,-1,2,1,-1
7neg_0,2,1,-1,2,1,-1
7nx9_1,-1,-1,-1,-1,-1,-1
7oaq_0,-1,-1,-1,-1,-1,-1
7oaq_1,-1,-1,-1,-1,-1,-1
7oau_0,-1,-1,-1,-1,-1,-1
7ytn_0,-1,-1,-1,-1,-1,-1
8gz5_0,-1,-1,-1,-1,-1,-1
9lyp_0,-1,-1,-1,-1,-1,-1
6ywc_0,-1,-1,-1,-1,-1,-1
7s6k_1,-1,-1,-1,-1,-1,-1
6qgy_1,-1,-1,-1,-1,-1,-1
7p5w_5,3,2,-1,3,2,-1
7p5y_3,3,2,-1,3,2,-1
7p60_1,-1,-1,-1,-1,-1,-1
7p6k_0,-1,-1,-1,-1,-1,-1
7b18_4,-1,-1,-1,-1,-1,-1
7b18_5,-1,-1,-1,-1,-1,-1
6aru_0,-1,-1,-1,-1,-1,-1
1bvk_0,-1,-1,-1,-1,-1,-1
1dqj_0,4,3,-1,4,3,-1
1c08_0,4,3,-1,4,3,-1
1fdl_0,-1,-1,-1,-1,-1,-1
1g7j_0,5,-1,-1,5,-1,-1
1g7m_0,5,-1,-1,5,-1,-1
1g7h_0,5,-1,-1,5,-1,-1
1g7l_0,5,-1,-1,5,-1,-1
1g7i_0,5,-1,-1,5,-1,-1
1ic7_0,6,-1,-1,6,-1,-1
1j1p_0,6,-1,-1,6,-1,-1
1ic4_0,6,-1,-1,6,-1,-1
1j1x_0,6,-1,-1,6,-1,-1
1j1o_0,6,-1,-1,6,-1,-1
1ic5_0,6,-1,-1,6,-1,-1
1jtt_0,-1,-1,-1,-1,-1,-1
1jto_1,-1,-1,-1,-1,-1,-1
1kip_0,7,-1,-1,7,-1,-1
1kiq_0,7,-1,-1,7,-1,-1
1kir_0,7,-1,-1,7,-1,-1
1mel_0,-1,-1,-1,-1,-1,-1
1mlc_0,-1,-1,-1,-1,-1,-1
1ndm_0,-1,-1,-1,-1,-1,-1
1p2c_0,-1,-1,-1,-1,-1,-1
1ri8_0,-1,-1,-1,-1,-1,-1
1rjc_0,-1,-1,-1,-1,-1,-1
1t6v_0,-1,-1,-1,-1,-1,-1
1sq2_0,-1,-1,-1,-1,-1,-1
1ua6_0,-1,-1,-1,-1,-1,-1
1vfb_0,-1,-1,-1,-1,-1,-1
1xfp_0,-1,-1,-1,-1,-1,-1
1xgp_0,8,-1,-1,8,-1,-1
1xgr_0,8,-1,-1,8,-1,-1
1xgq_0,8,-1,-1,8,-1,-1
1xgu_0,8,-1,-1,8,-1,-1
1xgt_0,8,-1,-1,8,-1,-1
1yqv_0,-1,-1,-1,-1,-1,-1
1zmy_0,-1,-1,-1,-1,-1,-1
1zv5_0,-1,-1,-1,-1,-1,-1
1zvh_0,-1,-1,-1,-1,-1,-1
1zvy_0,-1,-1,-1,-1,-1,-1
2dqc_0,9,4,-1,9,4,-1
2dqi_0,9,4,-1,9,4,-1
2eks_0,9,4,-1,9,4,-1
2dqh_0,9,4,-1,9,4,-1
2dqe_0,9,4,-1,9,4,-1
2dqg_0,9,4,-1,9,4,-1
2dqj_0,9,4,-1,9,4,-1
2dqf_0,9,4,-1,9,4,-1
2dqd_0,9,4,-1,9,4,-1
2eiz_0,9,4,-1,9,4,-1
2i26_0,10,5,-1,10,5,-1
2i25_0,10,5,-1,10,5,-1
3d9a_0,11,6,-1,11,6,-1
3hfm_0,11,6,-1,11,6,-1
3a6b_0,11,6,-1,11,6,-1
3a6c_0,11,6,-1,11,6,-1
2znw_1,11,6,-1,11,6,-1
2yss_0,11,6,-1,11,6,-1
2znx_0,11,6,-1,11,6,-1
3a67_0,11,6,-1,11,6,-1
4n1c_0,-1,-1,-1,-1,-1,-1
4n1c_1,-1,-1,-1,-1,-1,-1
4n1e_1,-1,-1,-1,-1,-1,-1
4pgj_0,-1,-1,-1,-1,-1,-1
4ttd_1,12,7,-1,12,7,-1
4tsc_0,12,7,-1,12,7,-1
4tsb_0,12,7,-1,12,7,-1
4u3x_0,-1,-1,-1,-1,-1,-1
6jb5_0,-1,-1,-1,-1,-1,-1
6jb2_0,-1,-1,-1,-1,-1,-1
6jb8_0,-1,-1,-1,-1,-1,-1
8gq1_0,-1,-1,-1,-1,-1,-1
9fgx_0,-1,-1,-1,-1,-1,-1
9fgy_0,-1,-1,-1,-1,-1,-1
5tud_0,-1,-1,-1,-1,-1,-1
7p7a_0,-1,-1,-1,-1,-1,-1
4zyp_0,-1,-1,-1,-1,-1,-1
4zyp_1,-1,-1,-1,-1,-1,-1
4zyp_2,-1,-1,-1,-1,-1,-1
4zyp_3,-1,-1,-1,-1,-1,-1
4zyp_4,-1,-1,-1,-1,-1,-1
4zyp_5,-1,-1,-1,-1,-1,-1
7tb8_0,-1,-1,-1,-1,-1,-1
7tb8_1,-1,-1,-1,-1,-1,-1
7tb8_2,-1,-1,-1,-1,-1,-1
7tb8_3,-1,-1,-1,-1,-1,-1
6ieq_0,-1,-1,-1,-1,-1,-1
5thr_3,-1,-1,-1,-1,-1,-1
5thr_5,-1,-1,-1,-1,-1,-1
5thr_1,-1,-1,-1,-1,-1,-1
7mww_0,-1,-1,-1,-1,-1,-1
7mwx_1,-1,-1,-1,-1,-1,-1
8dk6_0,-1,-1,-1,-1,-1,-1
2ny1_0,-1,-1,-1,-1,-1,-1
2ht3_0,-1,-1,-1,-1,-1,-1
6osv_0,13,8,1,13,8,1
6osh_0,13,8,1,13,8,1
7sp7_0,-1,-1,-1,-1,-1,-1
7sp7_1,-1,-1,-1,-1,-1,-1
4kjq_1,-1,-1,-1,-1,-1,-1
4kk6_1,-1,-1,-1,-1,-1,-1
2exw_0,-1,-1,-1,-1,-1,-1
4ene_0,-1,-1,-1,-1,-1,-1
2fee_0,-1,-1,-1,-1,-1,-1
4kk5_1,-1,-1,-1,-1,-1,-1
1ots_1,-1,-1,-1,-1,-1,-1
4kjp_0,-1,-1,-1,-1,-1,-1
2h2p_1,-1,-1,-1,-1,-1,-1
4kjw_0,-1,-1,-1,-1,-1,-1
6k5f_0,-1,-1,-1,-1,-1,-1
4qci_1,-1,-1,-1,-1,-1,-1
6t9e_1,-1,-1,-1,-1,-1,-1
6do1_0,-1,-1,-1,-1,-1,-1
6do1_1,-1,-1,-1,-1,-1,-1
6do1_2,-1,-1,-1,-1,-1,-1
6do1_3,-1,-1,-1,-1,-1,-1
7k4n_2,-1,-1,-1,-1,-1,-1
7m6f_1,-1,-1,-1,-1,-1,-1
7p40_0,-1,-1,-1,-1,-1,-1
7ny5_2,-1,-1,-1,-1,-1,-1
7lf8_0,-1,-1,-1,-1,-1,-1
3bt2_0,14,-1,-1,14,-1,-1
2fd6_0,14,-1,-1,14,-1,-1
4k24_0,-1,-1,-1,-1,-1,-1
4qti_0,-1,-1,-1,-1,-1,-1
7n8h_1,-1,-1,-1,-1,-1,-1
7n8h_2,-1,-1,-1,-1,-1,-1
7n8h_0,-1,-1,-1,-1,-1,-1
7n8h_3,-1,-1,-1,-1,-1,-1
7n8h_4,-1,-1,-1,-1,-1,-1
7n8h_5,-1,-1,-1,-1,-1,-1
6cwt_1,-1,-1,-1,-1,-1,-1
7wgt_0,-1,-1,-1,-1,-1,-1
7wgd_0,-1,-1,-1,-1,-1,-1
7wlw_0,-1,-1,-1,-1,-1,-1
7k5x_1,-1,-1,-1,-1,-1,-1
7k5y_0,-1,-1,-1,-1,-1,-1
7k5y_1,-1,-1,-1,-1,-1,-1
8vfx_0,-1,-1,-1,-1,-1,-1
7k63_1,-1,-1,-1,-1,-1,-1
7k60_0,-1,-1,-1,-1,-1,-1
7k61_0,-1,-1,-1,-1,-1,-1
7whj_0,-1,-1,-1,-1,-1,-1
7whj_1,-1,-1,-1,-1,-1,-1
7wjz_0,-1,-1,-1,-1,-1,-1
6u51_1,-1,-1,-1,-1,-1,-1
6u52_0,-1,-1,-1,-1,-1,-1
6u55_0,-1,-1,-1,-1,-1,-1
6gs1_0,-1,-1,-1,-1,-1,-1
6gs7_0,-1,-1,-1,-1,-1,-1
6gs4_0,-1,-1,-1,-1,-1,-1
7s1m_0,-1,-1,-1,-1,-1,-1
7s3i_0,-1,-1,-1,-1,-1,-1
7bw0_0,-1,-1,-1,-1,-1,-1
6wmw_0,-1,-1,-1,-1,-1,-1
6wmw_1,-1,-1,-1,-1,-1,-1
6wzl_0,-1,-1,-1,-1,-1,-1
4xi5_0,-1,-1,-1,-1,-1,-1
7jw0_2,-1,-1,-1,-1,-1,-1
5c0r_0,-1,-1,-1,-1,-1,-1
6ot0_0,-1,-1,-1,-1,-1,-1
7eb2_0,-1,-1,-1,-1,-1,-1
7ws5_1,-1,-1,-1,-1,-1,-1
7wwi_1,-1,-1,-1,-1,-1,-1
7wwj_0,-1,-1,-1,-1,-1,-1
7xj6_1,-1,-1,-1,-1,-1,-1
7xj6_2,-1,-1,-1,-1,-1,-1
7xj6_3,-1,-1,-1,-1,-1,-1
7xj8_0,-1,-1,-1,-1,-1,-1
7xj8_1,-1,-1,-1,-1,-1,-1
7xj8_2,-1,-1,-1,-1,-1,-1
8k45_1,-1,-1,-1,-1,-1,-1
6olp_0,-1,-1,-1,-1,-1,-1
7n9e_0,-1,-1,-1,-1,-1,-1
1nfd_1,-1,-1,-1,-1,-1,-1
5h35_2,-1,-1,-1,-1,-1,-1
6i07_1,-1,-1,-1,-1,-1,-1
5m94_0,-1,-1,-1,-1,-1,-1
5m95_0,-1,-1,-1,-1,-1,-1
4wgw_1,-1,-1,-1,-1,-1,-1
4wgv_0,-1,-1,-1,-1,-1,-1
6hjx_1,-1,-1,-1,-1,-1,-1
6hjy_3,-1,-1,-1,-1,-1,-1
6nfc_0,-1,-1,-1,-1,-1,-1
6nfc_1,-1,-1,-1,-1,-1,-1
6nfc_3,-1,-1,-1,-1,-1,-1
6awn_0,-1,-1,-1,-1,-1,-1
6w2b_0,-1,-1,-1,-1,-1,-1
6w2c_0,-1,-1,-1,-1,-1,-1
6ck9_1,-1,-1,-1,-1,-1,-1
7d5q_0,-1,-1,-1,-1,-1,-1
1a2y_0,-1,-1,-1,-1,-1,-1
4kfz_1,-1,-1,-1,-1,-1,-1
5f7k_1,-1,-1,-1,-1,-1,-1
5f7m_0,-1,-1,-1,-1,-1,-1
5f7y_0,-1,-1,-1,-1,-1,-1
5f7n_0,-1,-1,-1,-1,-1,-1
5f7w_1,-1,-1,-1,-1,-1,-1
7zqt_0,-1,-1,-1,-1,-1,-1
7zqt_1,-1,-1,-1,-1,-1,-1
7zqt_2,-1,-1,-1,-1,-1,-1
7zqt_3,-1,-1,-1,-1,-1,-1
5a3i_1,-1,-1,-1,-1,-1,-1
6tys_2,-1,-1,-1,-1,-1,-1
6m0z_0,-1,-1,-1,-1,-1,-1
6m47_0,-1,-1,-1,-1,-1,-1
6m3z_0,-1,-1,-1,-1,-1,-1
3v7a_0,-1,-1,-1,-1,-1,-1
4x7e_0,-1,-1,-1,-1,-1,-1
4x7f_1,-1,-1,-1,-1,-1,-1
5o03_1,-1,-1,-1,-1,-1,-1
5o04_1,-1,-1,-1,-1,-1,-1
5o04_0,-1,-1,-1,-1,-1,-1
5o04_2,-1,-1,-1,-1,-1,-1
5o04_3,-1,-1,-1,-1,-1,-1
5o05_0,-1,-1,-1,-1,-1,-1
5omm_0,-1,-1,-1,-1,-1,-1
5omn_0,-1,-1,-1,-1,-1,-1
8en2_1,-1,-1,-1,-1,-1,-1
6i3z_0,-1,-1,-1,-1,-1,-1
9ggp_0,-1,-1,-1,-1,-1,-1
6vpx_0,-1,-1,-1,-1,-1,-1
6vpx_3,-1,-1,-1,-1,-1,-1
2aep_0,-1,-1,-1,-1,-1,-1
2aeq_0,-1,-1,-1,-1,-1,-1
7kji_0,-1,-1,-1,-1,-1,-1
4liq_0,-1,-1,-1,-1,-1,-1
6h2y_0,-1,-1,-1,-1,-1,-1
5g5r_0,-1,-1,-1,-1,-1,-1
5g5x_0,-1,-1,-1,-1,-1,-1
7kmd_0,-1,-1,-1,-1,-1,-1
6cw3_0,-1,-1,-1,-1,-1,-1
3v0a_0,-1,-1,-1,-1,-1,-1
5l21_0,-1,-1,-1,-1,-1,-1
7sla_0,-1,-1,-1,-1,-1,-1
4xpf_0,-1,-1,-1,-1,-1,-1
5xjm_0,-1,-1,-1,-1,-1,-1
7p14_0,-1,-1,-1,-1,-1,-1
7p16_0,-1,-1,-1,-1,-1,-1
5f9a_0,-1,-1,-1,-1,-1,-1
5f9d_0,-1,-1,-1,-1,-1,-1
7r4i_0,-1,-1,-1,-1,-1,-1
7r4q_1,-1,-1,-1,-1,-1,-1
7r4r_0,-1,-1,-1,-1,-1,-1
7ktx_0,-1,-1,-1,-1,-1,-1
6b20_1,-1,-1,-1,-1,-1,-1
7lxy_1,-1,-1,-1,-1,-1,-1
7lxy_0,-1,-1,-1,-1,-1,-1
7lxy_2,-1,-1,-1,-1,-1,-1
7lxy_3,-1,-1,-1,-1,-1,-1
7lxy_4,-1,-1,-1,-1,-1,-1
7lxy_5,-1,-1,-1,-1,-1,-1
6ddm_0,-1,-1,-1,-1,-1,-1
6ddr_0,-1,-1,-1,-1,-1,-1
7s7i_5,-1,-1,-1,-1,-1,-1
1fj1_1,-1,-1,-1,-1,-1,-1
1osp_0,-1,-1,-1,-1,-1,-1
9byf_0,-1,-1,-1,-1,-1,-1
7mxd_0,-1,-1,-1,-1,-1,-1
7mxd_1,-1,-1,-1,-1,-1,-1
7mxd_2,-1,-1,-1,-1,-1,-1
7mxd_3,-1,-1,-1,-1,-1,-1
7n28_0,-1,-1,-1,-1,-1,-1
7n28_1,-1,-1,-1,-1,-1,-1
7n28_2,-1,-1,-1,-1,-1,-1
7n28_3,-1,-1,-1,-1,-1,-1
5m2m_4,-1,-1,-1,-1,-1,-1
7kpb_0,-1,-1,-1,-1,-1,-1
6dbg_0,-1,-1,-1,-1,-1,-1
7kc1_0,-1,-1,-1,-1,-1,-1
4hkz_0,15,-1,-1,15,-1,-1
4ioi_0,15,-1,-1,15,-1,-1
5u3d_0,-1,-1,-1,-1,-1,-1
6bah_0,16,-1,-1,16,-1,-1
6b9z_0,16,-1,-1,16,-1,-1
6b9y_0,16,-1,-1,16,-1,-1
6bae_0,16,-1,-1,16,-1,-1
5u5m_0,16,-1,-1,16,-1,-1
5u6a_0,16,-1,-1,16,-1,-1
5u5f_0,16,-1,-1,16,-1,-1
7dss_0,-1,-1,-1,-1,-1,-1
7f9y_0,-1,-1,-1,-1,-1,-1
7f9z_1,-1,-1,-1,-1,-1,-1
7wkd_0,17,-1,-1,17,-1,-1
7w55_0,17,-1,-1,17,-1,-1
7wy5_0,-1,-1,-1,-1,-1,-1
8h0p_0,-1,-1,-1,18,-1,-1
8i9a_0,-1,-1,-1,18,-1,-1
8ibu_0,-1,-1,-1,18,-1,-1
8ibv_0,-1,-1,-1,18,-1,-1
8iuk_1,-1,-1,-1,-1,-1,-1
8iul_0,-1,-1,-1,-1,-1,-1
8ium_1,-1,-1,-1,-1,-1,-1
8wz2_0,-1,-1,-1,-1,-1,-1
8y51_0,-1,-1,-1,-1,-1,-1
9itb_0,-1,-1,-1,-1,-1,-1
9ixx_0,-1,-1,-1,-1,-1,-1
7l6v_0,-1,-1,-1,-1,-1,-1
7l6v_1,-1,-1,-1,-1,-1,-1
7l6v_2,-1,-1,-1,-1,-1,-1
7l6v_3,-1,-1,-1,-1,-1,-1
7l6v_4,-1,-1,-1,-1,-1,-1
6os1_0,-1,-1,-1,-1,-1,-1
6m3b_0,-1,-1,-1,-1,-1,-1
6m3c_2,-1,-1,-1,-1,-1,-1
7vae_0,-1,-1,-1,-1,-1,-1
4r4h_0,-1,-1,-1,-1,-1,-1
5l6y_0,-1,-1,-1,-1,-1,-1
6itc_1,-1,-1,-1,-1,-1,-1
3tt1_0,-1,-1,-1,-1,-1,-1
2ny2_0,-1,-1,-1,-1,-1,-1
6gv1_0,-1,-1,-1,-1,-1,-1
5w5x_0,-1,-1,-1,-1,-1,-1
6fuz_0,-1,-1,-1,-1,-1,-1
6xr0_0,-1,-1,-1,-1,-1,-1
5w2b_0,-1,-1,-1,-1,-1,-1
3wfe_0,-1,-1,-1,-1,-1,-1
3o0r_0,-1,-1,-1,-1,-1,-1
3wfc_0,-1,-1,-1,-1,-1,-1
3wfb_0,-1,-1,-1,-1,-1,-1
3wfd_0,-1,-1,-1,-1,-1,-1
5gux_0,-1,-1,-1,-1,-1,-1
6k65_0,-1,-1,-1,-1,-1,-1
7vaf_0,-1,-1,-1,-1,-1,-1
2x7l_0,-1,-1,-1,-1,-1,-1
5dhv_0,-1,-1,-1,-1,-1,-1
5dhy_1,-1,-1,-1,-1,-1,-1
5dhx_0,-1,-1,-1,-1,-1,-1
5dhz_0,-1,-1,-1,-1,-1,-1
3q1s_0,-1,-1,-1,-1,-1,-1
5uwe_0,-1,-1,-1,-1,-1,-1
6w4m_0,-1,-1,-1,-1,-1,-1
9eje_2,-1,-1,-1,-1,-1,-1
9jie_1,-1,-1,-1,-1,-1,-1
9jik_0,-1,-1,-1,-1,-1,-1
9jim_0,-1,-1,-1,-1,-1,-1
9jin_1,-1,-1,-1,-1,-1,-1
9hlw_1,-1,-1,-1,-1,-1,-1
9hvi_0,-1,-1,-1,-1,-1,-1
9hvk_0,-1,-1,-1,-1,-1,-1
9hvk_1,-1,-1,-1,-1,-1,-1
9hvk_3,-1,-1,-1,-1,-1,-1
9hvk_2,-1,-1,-1,-1,-1,-1
8yvm_0,-1,-1,-1,-1,-1,-1
8yvn_1,-1,-1,-1,-1,-1,-1
8zyx_0,-1,-1,-1,-1,-1,-1
5ies_0,18,9,-1,19,9,-1
6d2p_0,18,9,-1,19,9,-1
5if0_1,18,9,-1,19,9,-1
9cf6_0,-1,-1,-1,-1,-1,-1
9cf7_0,-1,-1,-1,-1,-1,-1
9cfa_0,-1,-1,-1,-1,-1,-1
9mic_0,19,10,-1,20,10,-1
9mid_0,19,10,-1,20,10,-1
9mif_0,19,10,-1,20,10,-1
9mj3_0,19,10,-1,20,10,-1
9oao_0,19,10,-1,20,10,-1
9oap_0,19,10,-1,20,10,-1
9oar_1,19,10,-1,20,10,-1
8yj5_0,-1,-1,-1,-1,-1,-1
8yj7_1,-1,-1,-1,-1,-1,-1
8yj7_2,-1,-1,-1,-1,-1,-1
8yj7_3,-1,-1,-1,-1,-1,-1
8yj8_0,-1,-1,-1,-1,-1,-1
9cu5_0,-1,-1,-1,-1,-1,-1
8sw4_5,-1,-1,-1,-1,-1,-1
8sw4_6,-1,-1,-1,-1,-1,-1
9mi0_2,-1,-1,-1,-1,-1,-1
9mi0_4,-1,-1,-1,-1,-1,-1
9mi0_0,-1,-1,-1,-1,-1,-1
9mib_1,-1,-1,-1,-1,-1,-1
9mib_3,-1,-1,-1,-1,-1,-1
9mib_5,-1,-1,-1,-1,-1,-1
9b7g_0,-1,-1,-1,-1,-1,-1
9cy1_0,-1,-1,-1,-1,-1,-1
9ds1_0,-1,-1,-1,-1,-1,-1
9bjh_0,-1,-1,-1,-1,-1,-1
8jsr_0,-1,-1,-1,-1,-1,-1
8jsr_1,-1,-1,-1,-1,-1,-1
7ceb_0,-1,-1,-1,-1,-1,-1
7cec_0,-1,-1,-1,-1,-1,-1
7cec_1,-1,-1,-1,-1,-1,-1
9b9j_0,-1,-1,-1,-1,-1,-1
9b9k_0,-1,-1,-1,-1,-1,-1
5e5m_1,-1,-1,-1,-1,-1,-1
9dq4_0,-1,-1,-1,-1,-1,-1
9dq5_1,-1,-1,-1,-1,-1,-1
1yjd_0,-1,-1,-1,-1,-1,-1
6o8d_0,-1,-1,-1,-1,-1,-1
8s6z_0,-1,-1,-1,-1,-1,-1
8zre_1,-1,-1,-1,-1,-1,-1
8zrr_0,-1,-1,-1,-1,-1,-1
9jub_0,-1,-1,-1,-1,-1,-1
8vdl_0,-1,-1,-1,-1,-1,-1
8wrd_0,-1,-1,-1,-1,-1,-1
8wre_0,-1,-1,-1,-1,-1,-1
8we4_0,-1,-1,-1,-1,-1,-1
8wpw_0,-1,-1,-1,-1,-1,-1
8wpw_1,-1,-1,-1,-1,-1,-1
8wpw_2,-1,-1,-1,-1,-1,-1
9atp_0,-1,-1,-1,-1,-1,-1
9au1_0,-1,-1,-1,-1,-1,-1
9au1_1,-1,-1,-1,-1,-1,-1
1fsk_2,-1,-1,-1,-1,-1,-1
7n0u_0,-1,-1,-1,-1,-1,-1
7n0v_0,-1,-1,-1,-1,-1,-1
7rkf_0,-1,-1,-1,-1,-1,-1
4hwb_0,-1,-1,-1,-1,-1,-1
4jm2_0,-1,-1,-1,-1,-1,-1
4jm2_1,-1,-1,-1,-1,-1,-1
7eq1_0,20,-1,-1,21,-1,-1
7ykd_0,20,-1,-1,21,-1,-1
8ia8_0,20,-1,-1,21,-1,-1
8gcm_0,20,-1,-1,21,-1,-1
6xbm_0,20,-1,-1,21,-1,-1
7ejx_0,20,-1,-1,21,-1,-1
7wz4_0,20,-1,-1,21,-1,-1
7y64_0,20,-1,-1,21,-1,-1
7y66_0,20,-1,-1,21,-1,-1
7vgx_0,20,-1,-1,21,-1,-1
7vdl_0,20,-1,-1,21,-1,-1
6xbk_0,20,-1,-1,21,-1,-1
6xbl_0,20,-1,-1,21,-1,-1
6xbj_0,20,-1,-1,21,-1,-1
7vfx_0,20,-1,-1,21,-1,-1
7euo_0,20,-1,-1,21,-1,-1
7w0o_0,20,-1,-1,21,-1,-1
7w0p_0,20,-1,-1,21,-1,-1
8id3_0,-1,-1,-1,-1,-1,-1
8ija_0,21,-1,-1,22,-1,-1
8id4_0,21,-1,-1,22,-1,-1
8id8_0,21,-1,-1,22,-1,-1
8id6_0,21,-1,-1,22,-1,-1
8iw9_0,-1,-1,-1,-1,-1,-1
8jei_0,22,11,-1,23,11,-1
8xgu_0,22,11,-1,23,11,-1
8uuj_0,22,11,-1,23,11,-1
8u1u_0,22,11,-1,23,11,-1
8yh0_0,22,11,-1,23,11,-1
9iv1_0,-1,-1,-1,-1,-1,-1
9j0b_0,23,-1,-1,24,-1,-1
9j0i_0,23,-1,-1,24,-1,-1
6fv0_0,-1,-1,-1,-1,-1,-1
6ru5_0,-1,-1,-1,-1,-1,-1
5lqb_0,-1,-1,-1,-1,-1,-1
7o9w_0,-1,-1,-1,-1,-1,-1
6ad0_0,-1,-1,-1,-1,-1,-1
6nyq_0,-1,-1,-1,-1,-1,-1
1h0d_0,-1,-1,-1,-1,-1,-1
7f12_0,-1,-1,-1,-1,-1,-1
7d6y_0,-1,-1,-1,-1,-1,-1
7d8b_0,-1,-1,-1,-1,-1,-1
7xtp_0,-1,-1,-1,-1,-1,-1
2vc2_0,24,-1,-1,25,-1,-1
3nid_1,24,-1,-1,25,-1,-1
2vdp_0,24,-1,-1,25,-1,-1
2vdl_0,24,-1,-1,25,-1,-1
4z7o_1,24,-1,-1,25,-1,-1
